,teamname,outs,base_state_retro,chosen_runner_strategy,model_optimal_strategy,chosen_strategy_payoff,model_optimal_payoff,payoff_diff,sp1,sp2,speed_1b,speed_2b,speed_3b,arm_strength
4439,TEX,0,101,"[3, 1]",[],0.377,0.0,0.377,0.003294206722884067,0.7807495982451955,27.3,,27.3,91.2
4440,HOU,0,110,[],[2],0.0,0.4732207999999999,-0.4732207999999999,0.005599386121127153,0.7758845414680127,26.3,26.9,,97.0
4441,TEX,1,101,[3],[3],0.7290000000000001,0.6789384,0.05006160000000004,0.00562315378581267,0.9305180118399281,27.3,,27.3,99.3
4443,TEX,0,110,[],[2],0.0,0.4268448000000001,-0.4268448000000001,0.04023055847535194,0.7332837434148372,28.5,28.7,,95.3
4444,MIN,1,11,[3],"[2, 3]",0.737,0.7357472000000002,0.0012527999999998318,0.8800117640096626,0.9837066508897196,,28.3,28.0,97.0
4445,TEX,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.14772576482198774,0.9881695829229767,27.3,27.3,,93.0
4446,MIN,1,11,[3],[3],0.737,0.7099291999999998,0.027070800000000173,0.579060781436199,0.9841328768148804,,27.4,25.9,98.8
4447,TEX,1,101,[],[3],0.0,0.1366043999999999,-0.1366043999999999,0.00038746042708930983,0.29118536675372525,28.5,,28.7,101.2
4448,TEX,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.2004294960162601,0.9964251294384141,27.3,29.1,,93.3
4449,OAK,1,110,[],[],0.0,0.0,0.0,0.0002528258733560845,0.1699203037567468,27.3,28.4,,97.0
4450,TEX,1,110,[],[],0.0,0.0,0.0,0.013880387083138837,0.6660603720462432,28.5,26.2,,89.5
4451,TEX,1,101,[],[3],0.0,0.2116968,-0.2116968,0.0004667898123538423,0.3813683319589895,29.1,,27.3,91.5
4452,TEX,0,101,"[3, 1]",[],0.098,0.0,0.098,0.009258824582129638,0.9872451023509795,26.8,,29.8,93.1
4453,TOR,1,110,[],[2],0.0,0.0346815999999999,-0.0346815999999999,0.34949875340256714,0.9528799056395925,26.4,27.8,,91.8
4454,TOR,1,110,[2],[2],0.0549999999999999,0.0346815999999999,0.0203184,0.15209373663019712,0.9376616746526091,28.0,27.2,,98.8
4455,TEX,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.07744105962802571,0.9557501949513642,29.8,28.5,,92.6
4456,TOR,0,11,[],[],0.0,0.0,0.0,0.5079787427754331,0.5464991790950742,,25.2,23.7,97.0
4457,TOR,1,110,[2],[2],0.0549999999999999,0.0346815999999999,0.0203184,0.0405656923260797,0.9515015464636986,25.2,26.4,,98.8
4458,TOR,1,110,[2],[2],0.0549999999999999,0.0502191999999999,0.004780800000000002,0.6236651111819859,0.9743524927282244,27.2,25.2,,98.8
4459,SEA,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.030562576196835587,0.9891220547871244,26.7,,28.0,97.0
4460,TEX,1,110,[],[],0.0,0.0,0.0,0.00104257559400081,0.1259422575686566,27.3,29.8,,97.9
4461,SEA,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.04721654147997466,0.9720759193839056,27.6,29.6,,94.2
4462,COL,1,11,[3],[3],0.737,0.4753155999999999,0.2616844000000001,0.01549730332466455,0.708204211840363,,29.9,27.4,94.2
4463,COL,0,110,[],[],0.0,0.0,0.0,0.01805352586836339,0.0219127153977619,25.0,26.4,,94.2
4464,NYA,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.6301563320893555,0.9978574348360355,27.8,27.3,,92.6
4465,TOR,1,110,[],[],0.0,0.0,0.0,0.004874319418308437,0.6167670254336091,27.8,27.7,,89.5
4466,LAN,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.17730563667292437,0.9981873192270825,28.9,,26.9,94.2
4467,LAN,0,110,[2],[2],0.6679999999999999,0.6401743999999999,0.027825600000000006,0.07533594312068402,0.9728294011262875,26.5,26.4,,92.6
4468,LAN,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.39727139064919903,0.999750755411245,26.5,,26.4,94.2
4469,LAN,0,110,[2],[2],0.6679999999999999,0.2877167999999999,0.38028320000000004,0.006022593212385775,0.5955242507128984,28.3,26.9,,100.6
4470,LAN,1,101,[],[],0.0,0.0,0.0,2.9199672900361767e-05,0.06457263200014195,28.3,,28.3,100.6
4471,LAN,1,110,[2],[],0.0549999999999999,0.0,0.0549999999999999,0.11322378992670919,0.601522738531678,26.7,27.8,,89.9
4472,TOR,1,110,[],[],0.0,0.0,0.0,0.05677397681790948,0.33722415973371633,26.4,27.8,,97.4
4473,KCA,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.02080174309190833,0.970504731604036,25.8,30.5,,94.2
4475,CHA,1,110,[],[],0.0,0.0,0.0,0.0004653979575114209,0.00253046284475767,26.5,28.4,,94.2
4476,PIT,0,110,[],[2],0.0,0.0929375999999999,-0.0929375999999999,0.02014612195919663,0.38185896881949527,23.5,28.8,,89.9
4477,PIT,0,110,[],[],0.0,0.0,0.0,0.00011622532915612734,0.007323235452380695,27.1,28.8,,89.9
4478,TOR,1,110,[2],[],0.0549999999999999,0.0,0.0549999999999999,0.0007858472704187882,0.47437571360799796,25.2,27.1,,99.7
4479,CLE,1,101,[],[3],0.0,0.5788152,-0.5788152,0.0012135713845007332,0.8239506331429609,29.2,,28.1,94.2
4480,TOR,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.04297772163671847,0.9815525437000587,27.8,,25.2,98.3
4481,TOR,0,110,[],[],0.0,0.0,0.0,0.0065074834735407055,0.015742945874566525,25.2,28.1,,96.8
4483,BOS,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.37697929424386706,0.9927153916057934,26.4,26.2,,99.1
4485,BOS,0,11,[],[],0.0,0.0,0.0,0.03168550722955253,0.24825694310011093,,25.8,25.9,99.1
4486,NYA,0,11,"[3, 2]",[3],0.5589999999999999,0.2538496,0.30515039999999993,0.08043630040403746,0.9441126116719006,,27.8,26.7,89.9
4487,TOR,0,110,[],[2],0.0,0.3990191999999999,-0.3990191999999999,0.001807904942385566,0.698773423721668,23.7,28.1,,89.4
4488,TOR,1,110,[],[],0.0,0.0,0.0,6.0885331145041764e-05,1.8998784895036616e-05,23.7,28.1,,98.2
4490,HOU,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.8058365916067711,0.997336627506422,29.4,25.9,,92.6
4492,TOR,1,101,[3],"[1, 3]",0.7290000000000001,0.7311616,-0.0021615999999998747,0.5606162482090573,0.9999308951633487,26.4,,27.8,97.0
4493,HOU,1,110,[],[],0.0,0.0,0.0,0.005081965463730813,0.003049347542137131,26.3,26.9,,89.9
4494,HOU,1,110,[],[2],0.0,0.0549999999999999,-0.0549999999999999,0.09297764194327664,0.9879046689869564,26.9,28.1,,92.6
4495,TOR,0,110,[2],[2],0.6679999999999999,0.6401743999999999,0.027825600000000006,0.1487413223625737,0.9829917063833989,27.2,26.4,,94.1
4496,DET,0,110,[],[],0.0,0.0,0.0,0.0004169575537739793,0.22926546325024225,26.2,28.1,,92.6
4497,DET,1,110,[],"[1, 2]",0.0,0.0691199999999999,-0.0691199999999999,0.82380633996634,0.969239007647327,28.1,26.6,,94.2
4498,TOR,1,110,[2],[],0.0549999999999999,0.0,0.0549999999999999,0.0989299812278036,0.21815023460786598,25.2,26.4,,92.6
4499,TBA,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.4517702434688307,0.9934850663871331,27.3,26.1,,94.2
4500,TOR,1,110,[2],[],-0.443,0.0,-0.443,0.002614256155362061,0.3760920590014571,26.4,25.2,,97.0
4501,TOR,0,101,[],[],0.0,0.0,0.0,6.5174449954891974e-06,0.062173866077062184,25.2,,26.4,98.8
4503,TOR,0,110,[],[],0.0,0.0,0.0,0.0005420068240644106,0.03989809641734322,27.2,23.7,,98.8
4504,TOR,1,110,[],[],0.0,0.0,0.0,0.0017526958859815092,0.03718547210059285,27.2,23.7,,98.8
4505,TOR,1,11,"[3, 2]","[2, 3]",0.779,0.6358196000000002,0.14318039999999987,0.9567947119658626,0.8526709908938125,,28.0,26.4,97.0
4506,TOR,0,11,[3],[3],0.28,0.2538496,0.026150400000000018,0.3256793883557134,0.9504470527815234,,28.4,25.2,91.8
4507,TOR,1,101,[3],[3],0.7290000000000001,0.7054416,0.02355840000000009,0.26228016283176203,0.927489132012734,28.8,,23.7,88.7
4508,OAK,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.7208632798368141,0.9946963153992635,26.6,27.6,,94.2
4509,OAK,0,110,[],[2],0.0,0.1207631999999998,-0.1207631999999998,0.627936948815862,0.3967358699850782,28.4,27.1,,89.1
4510,CIN,1,101,[3],[3],0.7290000000000001,0.7039692000000001,0.02503080000000002,0.05228715967510162,0.9700495371175488,27.8,,26.9,89.1
4511,TOR,1,110,[],[],0.0,0.0,0.0,0.10851746379646234,0.27281224477079263,26.4,28.1,,93.1
4512,PHI,1,11,[],[3],0.0,0.6557876,-0.6557876,0.07527237443419361,0.9239901422295864,,30.3,29.5,89.9
4514,TOR,1,110,[],[],0.0,0.0,0.0,2.0188743056947543e-05,0.0003443927520661266,25.2,26.4,,91.6
4516,TOR,1,11,[3],[3],0.737,0.6828584,0.05414160000000001,0.07042338800838284,0.9494340165432578,,27.8,27.2,93.6
4520,TOR,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.5901272873698207,0.9892180585619786,28.4,28.0,,97.2
4521,TOR,0,110,[],[2],0.0,0.0094607999999999,-0.0094607999999999,0.007012456483303435,0.2863373093727934,28.0,23.7,,95.6
4523,TBA,0,110,[],[2],0.0,0.0094607999999999,-0.0094607999999999,0.003580622177081429,0.2832814936828584,27.3,26.6,,99.1
4524,TBA,1,11,[3],"[2, 3]",0.737,0.7564171999999999,-0.019417199999999912,0.9220979710883862,0.9964170957177053,,29.4,26.1,99.1
4525,TOR,0,110,[],[],0.0,0.0,0.0,0.01732102588145438,0.1513242352513007,28.4,28.1,,92.6
4527,TEX,0,110,[2],[2],0.6679999999999999,0.6123487999999999,0.05565120000000001,0.8963761128608004,0.9512317888725178,29.6,26.2,,92.6
4528,TBA,0,110,[],[],0.0,0.0,0.0,8.564138814344912e-05,0.07600728602827668,26.1,28.4,,98.8
4530,TBA,1,110,[2],[2],0.0549999999999999,0.0502191999999999,0.004780800000000002,0.5983645446051494,0.9762728466440386,27.8,27.9,,91.9
4531,SFN,1,110,[],[2],0.0,0.0549999999999999,-0.0549999999999999,0.1264875651169318,0.9912098717762792,27.0,28.1,,91.3
4533,TBA,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.7295700831276547,0.9952800433882102,27.9,28.4,,97.8
4534,TBA,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.994084979625262,0.9999599751309238,,29.0,29.4,95.4
4535,DET,0,110,[],[2],0.0,0.2042399999999999,-0.2042399999999999,0.004877283281278916,0.4869978108660154,27.8,28.1,,101.2
4536,DET,1,110,"[2, 1]","[1, 2]",0.1469999999999999,0.110892,0.036107999999999904,0.9106064528830367,0.9997999325767919,27.2,28.1,,90.7
4538,NYN,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.022927790614710754,0.9580280038661335,27.3,28.8,,99.3
4539,TBA,1,110,[],[],0.0,0.0,0.0,0.00023904109228341613,0.0006918185757273678,29.0,27.8,,96.9
4540,CHA,1,110,[],[],0.0,0.0,0.0,0.004010552075875066,0.3810821747584144,27.8,27.7,,99.3
4541,TBA,1,110,[2],[],-0.443,0.0,-0.443,0.027864942190076854,0.6716948107376225,29.8,26.1,,91.8
4542,TBA,1,101,[3],[3],0.7290000000000001,0.6539076000000001,0.07509239999999995,0.011450730547283936,0.9195431230815324,29.4,,28.4,89.5
4543,BOS,1,110,[],[2],0.0,0.0549999999999999,-0.0549999999999999,0.48372826274229574,0.9987845356090049,25.8,27.1,,91.3
4544,TBA,0,110,"[2, 1]",[2],0.486,0.5845232,-0.09852320000000003,0.039235551998224566,0.9005466048387343,27.9,29.0,,98.3
4545,TBA,0,110,[2],[2],0.6679999999999999,0.6123487999999999,0.05565120000000001,0.3832883760759442,0.9343927733319939,25.6,27.9,,93.6
4546,KCA,1,110,[],[],0.0,0.0,0.0,0.49817110168363055,0.6190846642479566,29.8,27.2,,92.6
4547,KCA,0,110,[],[],0.0,0.0,0.0,0.0008419637744101649,0.027481162221357238,29.8,26.5,,101.2
4548,KCA,1,110,[],[2],0.0,0.0042039999999999,-0.0042039999999999,0.37100898217222117,0.8455465866990667,29.8,26.5,,101.2
4549,KCA,1,110,[],[],0.0,0.0,0.0,0.00019891745307166033,0.05843557099723932,26.5,27.2,,101.2
4550,TBA,1,11,"[3, 2]",[3],0.779,0.737,0.04200000000000004,0.7830438532783502,0.9975992264878656,,27.9,29.0,95.3
4551,TBA,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9853421294397757,0.9996839014009808,,28.4,26.6,90.0
4552,BAL,1,11,[],[],0.0,0.0,0.0,0.0005204916193644044,0.03394471307175359,,27.4,28.2,101.2
4553,TBA,1,110,[],[2],0.0,0.0549999999999999,-0.0549999999999999,0.4841228352809674,0.9971481278487531,26.1,27.3,,100.6
4554,TBA,1,110,[],[],0.0,0.0,0.0,0.0022493182552828033,0.016499348184801532,29.7,28.2,,97.2
4555,WAS,1,110,[],[],0.0,0.0,0.0,0.00022075279001387274,0.00018139967366072264,25.6,27.0,,92.6
4556,WAS,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.050133313299214,0.9952608522951705,23.5,29.3,,101.2
4557,TBA,1,110,[],[],0.0,0.0,0.0,0.0008545637366761816,0.00903472137740047,26.1,27.3,,98.2
4558,TBA,1,11,[3],"[2, 3]",0.737,0.7714724000000001,-0.03447240000000007,0.9674763983501516,0.9916962937584901,,29.4,26.1,89.4
4559,CLE,1,110,[],[],0.0,0.0,0.0,0.00017896892507194214,0.03944260870133219,28.1,27.4,,99.3
4560,CLE,1,11,[],[3],0.0,0.2316783999999999,-0.2316783999999999,0.009171962200822243,0.4452144500751538,,29.2,26.2,92.6
4561,TBA,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.11468021952278622,0.9950810923494182,25.6,29.4,,92.1
4562,CLE,1,110,[],[],0.0,0.0,0.0,0.0017174233670565536,0.2475897404626203,27.6,28.1,,101.2
4564,BAL,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.30968031503898186,0.9943097354156529,26.1,26.7,,101.2
4565,BAL,1,11,[],[],0.0,0.0,0.0,0.014974795279458795,0.11317877712993266,,27.0,28.8,92.0
4566,ARI,1,110,[],[],0.0,0.0,0.0,0.00858227832910182,0.13148388318855547,25.9,26.4,,92.0
4567,ARI,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.26424200162341005,0.9791624590680055,28.0,26.4,,99.3
4568,TBA,0,11,[],[3],0.0,0.2669248000000001,-0.2669248000000001,0.09243014945154758,0.9754713280478298,,28.2,29.8,95.3
4569,SDN,1,101,"[3, 1]",[3],0.829,0.7290000000000001,0.09999999999999987,0.17126382698813616,0.9996590059457998,26.3,,28.3,99.3
4570,SDN,1,110,[],[2],0.0,0.0502191999999999,-0.0502191999999999,0.7179093739747507,0.9805176367528562,25.6,25.8,,92.0
4571,SDN,0,110,[],[],0.0,0.0,0.0,0.00010158955459601251,0.02215213891769141,27.6,26.3,,91.2
4572,SDN,0,101,"[3, 1]",[],0.377,0.0,0.377,0.0015815765446006154,0.9667065378153148,26.3,,28.7,101.2
4573,TBA,0,110,[2],[2],0.6679999999999999,0.5566975999999999,0.11130240000000002,0.015879699910251455,0.8663416962591403,26.4,27.3,,95.7
4574,TBA,1,110,[],[],0.0,0.0,0.0,0.004639146281765232,0.15759981858770852,26.6,28.2,,88.5
4575,TBA,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.3126225649578834,0.9997937440430124,25.6,,29.0,88.5
4576,TBA,0,110,[],[2],0.0,0.6123487999999999,-0.6123487999999999,0.6206763837265786,0.9262141612748663,28.2,29.8,,88.5
4577,TBA,0,110,[2],[2],0.6679999999999999,0.6123487999999999,0.05565120000000001,0.1164294985938465,0.9463221499751379,28.6,25.8,,100.6
4578,TBA,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.6959661150516282,0.9997763889842334,29.0,,29.7,89.9
4579,ARI,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.14982621910907218,0.9920227469132901,26.4,27.2,,89.3
4580,ARI,1,11,"[3, 2]",[3],0.779,0.6828584,0.09614160000000005,0.6595066798462325,0.9311863145985375,,27.2,26.4,102.6
4581,ARI,1,110,[2],"[1, 2]",0.0549999999999999,0.110892,-0.0558920000000001,0.8970916846882606,0.9997435731355508,28.8,28.6,,92.0
4582,COL,1,110,[],[],0.0,0.0,0.0,0.00031009751923315523,1.5493012014934558e-05,29.9,26.6,,95.3
4583,ARI,1,110,[],[],0.0,0.0,0.0,0.0007908226689708368,0.49855884785621135,27.1,30.1,,102.6
4584,NYA,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.424167532058934,0.9934108957476063,26.7,26.8,,88.6
4585,NYA,1,101,"[3, 1]",[3],0.6040000000000001,0.4620048000000001,0.1419952,0.0037798146862466826,0.6747597431391235,28.4,,27.3,95.3
4586,ARI,0,11,[3],"[2, 3]",0.28,0.3175591999999999,-0.03755919999999985,0.6008709490107872,0.9993847352926277,,27.2,30.0,98.2
4587,SLN,0,110,[],[],0.0,0.0,0.0,2.9417565106710517e-05,0.0015672658242344016,26.4,27.1,,95.3
4588,SLN,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.5589999999999999,0.0,0.9950095222438486,0.994179069370253,,30.0,28.8,92.1
4589,ARI,1,110,[2],[],-0.443,0.0,-0.443,0.028343601793226772,0.8227242821648337,30.1,28.0,,98.6
4590,SLN,1,11,[],[3],0.0,0.5204336,-0.5204336,0.6047655929090198,0.7556504238599312,,24.9,26.5,93.7
4591,SLN,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.3157643970424457,0.9646822391179982,27.8,26.7,,88.6
4592,CHN,1,110,[],[],0.0,0.0,0.0,0.002751474421016863,0.007575576775100137,28.5,26.3,,95.3
4593,ARI,1,110,[],[],0.0,0.0,0.0,3.803746568218445e-05,0.00914418016005004,27.2,26.4,,98.2
4595,ARI,1,110,[],[],0.0,0.0,0.0,0.018194221048149575,0.011341488957647698,26.4,27.1,,93.4
4597,CHN,1,110,[],[],0.0,0.0,0.0,0.00199050770620178,0.0421960825329257,27.3,28.6,,95.3
4598,ARI,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9971558840829091,0.9999141413279946,,27.7,28.6,102.1
4599,LAN,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.5413336,0.01766639999999997,0.9806253998172948,0.9998158376305749,,26.9,26.9,88.6
4600,ARI,1,11,"[3, 2]","[2, 3]",0.779,0.7714724000000001,0.007527599999999968,0.9707275403923188,0.9992965405128549,,26.4,26.4,102.1
4601,LAN,0,110,[],[2],0.0,0.1485887999999999,-0.1485887999999999,0.2928377261574117,0.4533598417393588,27.8,27.2,,95.3
4602,LAN,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.6314956738746343,0.9926010400281315,27.8,27.2,,88.6
4603,ARI,1,110,[],[],0.0,0.0,0.0,0.006695014241713863,0.3352794981318021,26.4,26.4,,102.1
4604,SDN,1,110,[2],"[1, 2]",0.0549999999999999,0.0988559999999999,-0.043856,0.8874205657003924,0.9993967087031216,25.8,27.6,,88.6
4605,SDN,0,110,[],[],0.0,0.0,0.0,0.10368045131070078,0.028837772620328318,29.3,26.1,,95.3
4607,CIN,1,11,[3],"[2, 3]",0.737,0.7639448,-0.02694479999999999,0.9460070603973948,0.9974843623096146,,26.9,24.5,88.6
4608,CIN,0,110,[],[],0.0,0.0,0.0,0.0009251740111276508,0.000286151874621152,28.0,26.9,,95.3
4609,ARI,1,110,[2],"[1, 2]",0.0549999999999999,0.0868199999999999,-0.031819999999999994,0.840065520418769,0.9889128920130674,30.0,27.4,,92.2
4610,ARI,0,11,[3],[3],0.28,0.2669248000000001,0.013075199999999954,0.21072210996723095,0.9823199341811482,,26.4,27.7,96.2
4611,ARI,1,101,[],[3],0.0,0.0197939999999999,-0.0197939999999999,4.098927703942402e-05,0.13826090645958347,27.1,,26.4,96.2
4612,ARI,1,101,"[3, 1]",[3],0.829,0.7290000000000001,0.09999999999999987,0.30790352043778474,0.9997938881923609,26.4,,27.7,96.2
4613,MIA,0,110,[],[],0.0,0.0,0.0,0.0003488098590989419,0.0272993859106904,28.0,27.5,,88.6
4615,ARI,0,110,[],[],0.0,0.0,0.0,0.0009547948061470844,0.14702088470829372,27.2,27.7,,91.1
4616,ARI,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.40308168422632445,0.998037925540205,27.7,,28.0,92.3
4617,SFN,0,110,[],[],0.0,0.0,0.0,0.03531011910692673,0.022530182273322114,30.0,27.0,,95.3
4618,ARI,1,110,"[2, 1]",[2],0.1469999999999999,0.0346815999999999,0.11231840000000001,0.22446316908275266,0.9365547026152248,27.2,30.1,,93.1
4619,ARI,1,101,[],[3],0.0,0.7039692000000001,-0.7039692000000001,0.004736261145665851,0.9687189422648905,27.1,,27.2,91.5
4620,ARI,1,110,[],[],0.0,0.0,0.0,0.011720312301520958,0.4286449726729447,27.1,27.2,,91.5
4622,ARI,1,110,[],[2],0.0,0.0143632,-0.0143632,0.22537035400508698,0.8788353569372652,28.0,27.2,,97.8
4623,ARI,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.0596856767264322,0.9990744100122768,27.7,,30.1,92.8
4624,ARI,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9935158294058513,0.9997396443704033,,26.4,26.4,92.8
4625,MIN,1,110,[],[],0.0,0.0,0.0,0.003392528487069948,0.019156180918495753,28.6,26.6,,95.3
4626,MIN,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.07196550529683246,0.9985317616203894,25.9,,26.6,88.6
4627,MIN,1,101,[3],"[1, 3]",0.7290000000000001,0.7756336,-0.04663359999999994,0.7517303858204032,0.9998469425935972,28.2,,26.6,95.3
4628,MIN,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.5589999999999999,0.0,0.9967056259880257,0.9999079692107844,,28.2,26.6,88.6
4632,ATL,1,110,[],[2],0.0,0.0143632,-0.0143632,0.015072700627932437,0.886808146167438,25.9,26.0,,88.6
4633,ATL,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.012064436060760578,0.9944385257532833,26.2,,28.1,89.5
4634,ATL,0,101,[3],"[1, 3]",-0.0649999999999999,0.0501008,-0.1151007999999999,0.8731199863135786,0.9999545569929225,28.1,,27.6,88.6
4635,ARI,1,101,[3],[3],0.7290000000000001,0.7172208,0.0117792000000001,0.08431524540152088,0.9686430166649462,28.8,,27.4,92.6
4636,ARI,0,110,[2],[2],0.6679999999999999,0.4453952,0.22260479999999994,0.09904974890743148,0.7573079896760229,26.4,27.2,,94.2
4638,ARI,0,110,[],[2],0.0,0.2042399999999999,-0.2042399999999999,0.3527733491314638,0.4929938612099329,26.4,26.4,,89.9
4639,ARI,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.11874798614771478,0.9615929847490281,26.4,26.4,,94.2
4640,ARI,0,110,[],[],0.0,0.0,0.0,0.006109645469667316,0.02105097831080328,26.4,27.7,,89.9
4641,ARI,0,101,[1],[],-0.1819999999999999,0.0,-0.1819999999999999,0.00011603360473252615,0.7696568617443241,26.4,,30.0,99.1
4642,PIT,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.6192705671342593,0.9884937609005157,28.2,23.5,,88.6
4643,ARI,1,110,[],[],0.0,0.0,0.0,0.00014197897007412873,0.05722028151042625,26.4,27.2,,101.3
4644,PIT,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.5589999999999999,0.0,0.993452380902784,0.999749954914266,,27.0,27.1,93.7
4645,ARI,1,101,[3],[3],0.7290000000000001,0.6539076000000001,0.07509239999999995,0.038354186505297455,0.9048937046422161,30.1,,26.4,92.6
4646,ARI,1,110,[2],[2],0.0549999999999999,0.0346815999999999,0.0203184,0.027004279694839137,0.9493012242866237,26.4,27.1,,89.2
4647,ARI,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.5589999999999999,0.0,0.9966142032768295,0.9981635614332923,,27.7,27.2,89.2
4648,ARI,1,110,[],[],0.0,0.0,0.0,0.24911743908091807,0.38779223807048513,30.1,28.0,,89.2
4651,LAN,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.17179270624733015,0.9810312593229645,28.6,27.2,,88.6
4653,ARI,1,110,[],[],0.0,0.0,0.0,0.41870752575618053,0.26901052395117814,30.1,27.2,,93.1
4654,ARI,1,110,[],[],0.0,0.0,0.0,0.01685500996964568,0.7041409587685813,27.4,24.7,,102.1
4655,LAN,1,101,"[3, 1]","[1, 3]",0.829,0.7956460000000001,0.033353999999999884,0.8455188428665448,0.9999485448328402,27.2,,27.8,89.7
4656,ARI,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.016128413917168252,0.9745885727290997,24.7,,26.4,94.0
4657,ARI,1,110,[],[],0.0,0.0,0.0,0.13241912078319193,0.3369765085015366,27.2,26.4,,91.8
4658,MIL,1,110,[],[],0.0,0.0,0.0,0.0024925371057253017,0.6156095416326116,26.5,29.7,,93.7
4659,ARI,1,110,[2],[2],0.0549999999999999,0.0346815999999999,0.0203184,0.049276394537043355,0.9450980876936469,28.0,27.2,,96.3
4660,ARI,1,110,[2],[2],0.0549999999999999,0.0346815999999999,0.0203184,0.3586892463631666,0.9545360658615298,30.1,27.2,,99.8
4661,ARI,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.450022681723312,0.9996088120631524,26.4,,27.7,93.9
4662,ARI,1,11,[],[],0.0,0.0,0.0,0.001219702477451404,0.016206446950902457,,30.0,27.2,95.7
4663,ATL,1,110,[2],"[1, 2]",0.0549999999999999,0.110892,-0.0558920000000001,0.898119852286349,0.9953295997593711,28.8,26.4,,88.6
4666,MIA,1,11,[],[3],0.0,0.2587491999999999,-0.2587491999999999,0.009921127093599085,0.47646160386805375,,28.4,27.7,95.7
4667,ATL,1,11,[3],"[2, 3]",0.737,0.7282196,0.008780400000000022,0.8538128188682753,0.98499433445888,,28.8,27.6,93.2
4669,SDN,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.09936772374434424,0.9938503820080131,26.1,28.5,,100.2
4670,SDN,1,101,[3],"[1, 3]",0.7290000000000001,0.7578448,-0.028844799999999893,0.6909380473998753,0.999804146713238,26.3,,25.6,95.0
4671,WAS,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9997454230658861,0.9999477483086805,,30.0,28.3,92.1
4672,ATL,1,101,[3],[3],0.7290000000000001,0.7039692000000001,0.02503080000000002,0.04093284954725764,0.9684998806783489,26.0,,26.2,93.1
4673,ATL,1,101,[3],[3],0.7290000000000001,0.6789384,0.05006160000000004,0.002621555800997986,0.954746623561849,26.4,,28.1,88.2
4675,OAK,0,110,[],[],0.0,0.0,0.0,0.0011176294605469443,0.1568396825450419,27.1,27.2,,95.7
4676,ATL,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.41970923493054735,0.9959069637762828,28.8,28.0,,92.8
4677,ATL,1,110,"[2, 1]",[],0.1469999999999999,0.0,0.1469999999999999,0.3049726429182879,0.8022473076051351,27.6,27.6,,98.7
